,0,1,2,3,4,5,6
0,17,27,17,10,9,1,3
1,18,29,14,18,15,2,0
2,20,39,18,5,4,1,5
3,23,34,24,0,6,2,0
4,21,29,33,3,12,1,6
5,24,30,32,5,15,2,1
6,35,39,11,11,3,4,6
7,45,35,11,12,7,4,0
8,31,30,15,12,9,3,6
9,32,28,18,15,11,5,0
10,32,34,19,3,8,1,6
11,40,24,27,7,5,2,0
12,28,37,12,15,8,2,5
13,20,35,18,16,10,5,1
14,25,38,16,24,0,1,7
15,33,32,25,16,3,3,0
16,27,27,20,19,5,2,2
17,29,25,27,21,5,5,0
18,31,34,11,26,0,3,6
19,29,28,17,31,3,5,0
20,26,35,22,24,5,2,6
21,31,32,28,24,7,5,0
22,30,34,23,26,3,5,5
23,39,35,19,29,4,7,0
24,27,36,19,29,4,3,3
25,32,29,26,31,6,5,0
26,30,44,12,39,0,2,6
27,35,39,14,53,0,4,0
28,30,34,20,49,0,2,6
29,36,29,23,52,0,5,0
30,27,46,20,47,3,3,5
31,33,61,27,25,6,4,0
32,27,58,35,22,6,4,4
33,29,49,41,26,10,4,2
34,37,38,50,27,1,4,7
