,0,1,2,3,4,5
0,56,40,15,41,19,4
1,56,42,16,43,21,6
2,53,46,22,36,12,2
3,51,43,28,36,8,3
4,46,31,34,27,13,4
5,45,25,38,13,17,4
6,44,32,40,8,12,1
7,37,25,47,11,9,2
8,33,43,23,11,12,3
9,34,48,9,15,14,6
10,38,46,14,14,4,3
11,28,48,20,5,9,4
12,16,40,25,17,11,1
13,16,33,29,9,12,2
14,23,30,33,7,3,2
15,31,45,14,8,5,6
